hassaniya,français,categorie,exemple,source
ndor n5alass lva8a 4att,Je veux payer en espèces,argent,On dit 'ndor n5alass lva8a 4att'.,Fatimetou Nemane — locutrice native hassaniya
twa7ashtak,Tu me manques,sentiments,On dit 'twa7ashtak'.,Fatimetou Nemane — locutrice native hassaniya
net5amem vik,Je pense à toi,sentiments,On dit 'net5amem vik'.,Fatimetou Nemane — locutrice native hassaniya
n7ne s7ab,On est amis ?,sentiments,On dit 'n7ne s7ab'.,Fatimetou Nemane — locutrice native hassaniya
nte 9le 3liye less7ab,Tu es mon meilleur ami,sentiments,On dit 'nte 9le 3liye less7ab'.,Fatimetou Nemane — locutrice native hassaniya
manged nenssak,Je ne t'oublierai jamais,sentiments,On dit 'manged nenssak'.,Fatimetou Nemane — locutrice native hassaniya
nte muhim 3andi,Tu es important(e) pour moi,sentiments,On dit 'nte muhim 3andi'.,Fatimetou Nemane — locutrice native hassaniya
sa3ide 3ani jbartak,Je suis content(e) de te voir,sentiments,On dit 'sa3ide 3ani jbartak'.,Fatimetou Nemane — locutrice native hassaniya
tged tetkel 3liye,Tu peux compter sur moi,sentiments,On dit 'tged tetkel 3liye'.,Fatimetou Nemane — locutrice native hassaniya
dor ntem la m3ak,Je serai toujours là pour toi,sentiments,On dit 'dor ntem la m3ak'.,Fatimetou Nemane — locutrice native hassaniya
ane telmidi,Je suis étudiant(e),education,On dit 'ane telmidi'.,Fatimetou Nemane — locutrice native hassaniya
ane nsht9al houn,Je travaille ici,education,On dit 'ane nsht9al houn'.,Fatimetou Nemane — locutrice native hassaniya
nlewed lsha9le,Je cherche un travail,education,On dit 'nlewed lsha9le'.,Fatimetou Nemane — locutrice native hassaniya
jam3a mneyn ?,Où est l'université ?,education,On dit 'jam3a mneyn ?',Fatimetou Nemane — locutrice native hassaniya
ndor net3alem l7assaniye,Je veux apprendre le hassaniya,education,On dit 'ndor net3alem l7assaniye'.,Fatimetou Nemane — locutrice native hassaniya
4e wa3r vehmou,C'est difficile à comprendre,education,On dit '4e wa3r vehmou'.,Fatimetou Nemane — locutrice native hassaniya
3eli 4e 7ghallah,Répète s'il te plaît,education,On dit '3eli 4e 7ghallah'.,Fatimetou Nemane — locutrice native hassaniya
tkelem beshor,Parle plus lentement,education,On dit 'tkelem beshor'.,Fatimetou Nemane — locutrice native hassaniya
beyssive ynkteb ?,Comment ça s'écrit ?,education,On dit 'beyssive ynkteb ?',Fatimetou Nemane — locutrice native hassaniya
mana3rav,Je ne sais pas,education,On dit 'mana3rav'.,Fatimetou Nemane — locutrice native hassaniya
4e ma7ali,C'est fait main ?,marche,On dit '4e ma7ali'.,Fatimetou Nemane — locutrice native hassaniya
4e mn 4heb well mn lva8a ?,C'est en or ou en argent ?,marche,On dit '4e mn 4heb well mn lva8a ?',Fatimetou Nemane — locutrice native hassaniya
4e 7err,C'est authentique ?,marche,On dit '4e 7err'.,Fatimetou Nemane — locutrice native hassaniya
3ndkum shy kbar ?,Vous avez plus grand ?,marche,On dit '3ndkum shy kbar ?',Fatimetou Nemane — locutrice native hassaniya
3andkum shi s9ar ?,Vous avez plus petit ?,marche,On dit '3andkum shi s9ar ?',Fatimetou Nemane — locutrice native hassaniya
4e L5en6 shnebtou ?,C'est quoi comme tissu ?,marche,On dit '4e L5en6 shnebtou ?',Fatimetou Nemane — locutrice native hassaniya
ndorak t9alvuli,Je veux l'emballer en cadeau,marche,On dit 'ndorak t9alvuli'.,Fatimetou Nemane — locutrice native hassaniya
3andkum 5edmet tawssil ?,Vous livrez ?,marche,On dit '3andkum 5edmet tawssil ?',Fatimetou Nemane — locutrice native hassaniya
ha4e tiva9 zeyn,C'est une bonne affaire !,marche,On dit 'ha4e tiva9 zeyn'.,Fatimetou Nemane — locutrice native hassaniya
dor nerja3lkum,Je reviendrai plus tard,marche,On dit 'dor nerja3lkum'.,Fatimetou Nemane — locutrice native hassaniya
ha4e se3r tali,C'est mon dernier prix,negociation,On dit 'ha4e se3r tali'.,Fatimetou Nemane — locutrice native hassaniya
mateyt nged nengess,Je ne peux pas aller plus bas,negociation,On dit 'mateyt nged nengess'.,Fatimetou Nemane — locutrice native hassaniya
3awnu v rousskum,Faites un effort,negociation,On dit '3awnu v rousskum'.,Fatimetou Nemane — locutrice native hassaniya
twav9ne ?,On se met d'accord ?,negociation,On dit 'twav9ne ?',Fatimetou Nemane — locutrice native hassaniya
ha4e 3ar6 5ass,C'est une offre spéciale,negociation,On dit 'ha4e 3ar6 5ass'.,Fatimetou Nemane — locutrice native hassaniya
negba8 4neyn nahi tengessli,"Je prends deux, vous faites un prix ?",negociation,On dit 'negba8 4neyn nahi tengessli'.,Fatimetou Nemane — locutrice native hassaniya
ha4e se3r lmarssa,C'est le prix du marché,negociation,On dit 'ha4e se3r lmarssa'.,Fatimetou Nemane — locutrice native hassaniya
mankum 5assrin shi,Vous perdez rien,negociation,On dit 'mankum 5assrin shi'.,Fatimetou Nemane — locutrice native hassaniya
ness ness ?,On fait moitié-moitié ?,negociation,On dit 'ness ness ?',Fatimetou Nemane — locutrice native hassaniya
ha4i vourssa zeyne,C'est une bonne occasion,negociation,On dit 'ha4i vourssa zeyne'.,Fatimetou Nemane — locutrice native hassaniya
3ssak,Fais attention !,rue,On dit '3ssak'.,Fatimetou Nemane — locutrice native hassaniya
k7ez hok,Pousse-toi !,rue,On dit 'k7ez hok'.,Fatimetou Nemane — locutrice native hassaniya
ha4e beli,C'est ma place,rue,On dit 'ha4e beli'.,Fatimetou Nemane — locutrice native hassaniya
latmessni,Ne touche pas,rue,On dit 'latmessni'.,Fatimetou Nemane — locutrice native hassaniya
ngess l7ess,Baisse le son,rue,On dit 'ngess l7ess'.,Fatimetou Nemane — locutrice native hassaniya
gval lvoum,Ferme la porte,rue,On dit 'gval lvoum'.,Fatimetou Nemane — locutrice native hassaniya
vta7 lkuwe,Ouvre la fenêtre,rue,On dit 'vta7 lkuwe'.,Fatimetou Nemane — locutrice native hassaniya
hun m8alem,Il fait sombre ici,rue,On dit 'hun m8alem'.,Fatimetou Nemane — locutrice native hassaniya
gdi 8aw,Allume la lumière,rue,On dit 'gdi 8aw'.,Fatimetou Nemane — locutrice native hassaniya
6fi 8aw,Éteins la lumière,rue,On dit '6fi 8aw'.,Fatimetou Nemane — locutrice native hassaniya
zeyn,Bravo !,encouragement,On dit 'zeyn'.,Fatimetou Nemane — locutrice native hassaniya
kemel b4i sive,Continue comme ça !,encouragement,On dit 'kemel b4i sive'.,Fatimetou Nemane — locutrice native hassaniya
dor tewssal,Tu vas y arriver !,encouragement,On dit 'dor tewssal'.,Fatimetou Nemane — locutrice native hassaniya
la t5alih 3nk,Ne lâche pas !,encouragement,On dit 'la t5alih 3nk'.,Fatimetou Nemane — locutrice native hassaniya
nte huwe shbeh 7ad,Tu es le meilleur !,encouragement,On dit 'nte huwe shbeh 7ad'.,Fatimetou Nemane — locutrice native hassaniya
va5our bik,Je suis fier de toi !,encouragement,On dit 'va5our bik'.,Fatimetou Nemane — locutrice native hassaniya
movaje2e zeyne,Quelle surprise !,encouragement,On dit 'movaje2e zeyne'.,Fatimetou Nemane — locutrice native hassaniya
4e la lya9outt,C'est incroyable !,encouragement,On dit '4e la lya9outt'.,Fatimetou Nemane — locutrice native hassaniya
Mebrouk,Félicitations !,fete,On dit 'Mebrouk'.,Fatimetou Nemane — locutrice native hassaniya
3id milad sa3id,Joyeux anniversaire !,fete,On dit '3id milad sa3id'.,Fatimetou Nemane — locutrice native hassaniya
3id sa3id,Bonne fête !,fete,On dit '3id sa3id'.,Fatimetou Nemane — locutrice native hassaniya
Allah yjazik,Que Dieu vous bénisse !,fete,On dit 'Allah yjazik'.,Fatimetou Nemane — locutrice native hassaniya
var7ana lak,Je suis très content pour toi,fete,On dit 'var7ana lak'.,Fatimetou Nemane — locutrice native hassaniya
Allah ytemem lvar7a,Que le bonheur dure !,fete,On dit 'Allah ytemem lvar7a'.,Fatimetou Nemane — locutrice native hassaniya
Allah y6awel 3oumrak,Longue vie !,fete,On dit 'Allah y6awel 3oumrak'.,Fatimetou Nemane — locutrice native hassaniya
matvahmne,On s'est mal compris,reconciliation,On dit 'matvahmne'.,Fatimetou Nemane — locutrice native hassaniya
ha4i lmoushkile mnak,C'est ta faute,reconciliation,On dit 'ha4i lmoushkile mnak'.,Fatimetou Nemane — locutrice native hassaniya
lmoushkile mahi mni,Ce n'est pas ma faute,reconciliation,On dit 'lmoushkile mahi mni'.,Fatimetou Nemane — locutrice native hassaniya
3avwen,Je m'excuse,reconciliation,On dit '3avwen'.,Fatimetou Nemane — locutrice native hassaniya
same7ni,Pardonne-moi,reconciliation,On dit 'same7ni'.,Fatimetou Nemane — locutrice native hassaniya
n3adlou silm ?,On fait la paix ?,reconciliation,On dit 'n3adlou silm ?',Fatimetou Nemane — locutrice native hassaniya
l9ala6 meni,J'avais tort,reconciliation,On dit 'l9ala6 meni'.,Fatimetou Nemane — locutrice native hassaniya
kan 3andak l7a9,Tu avais raison,reconciliation,On dit 'kan 3andak l7a9'.,Fatimetou Nemane — locutrice native hassaniya
nenssaw 4e kaml ?,On oublie tout ?,reconciliation,On dit 'nenssaw 4e kaml ?',Fatimetou Nemane — locutrice native hassaniya
mani menvga3,Je ne suis pas fâché(e),reconciliation,On dit 'mani menvga3' (homme) ou 'menveg3a' (femme).,Fatimetou Nemane — locutrice native hassaniya
ha4e sevra lewel shor mouritan,C'est mon premier voyage en Mauritanie,voyage,On dit 'ha4e sevra lewel shor mouritan'.,Fatimetou Nemane — locutrice native hassaniya
ane jay mn France,Je viens de France,voyage,On dit 'ane jay mn France'.,Fatimetou Nemane — locutrice native hassaniya
bgali kem mn yewm ?,Je reste combien de jours ?,voyage,On dit 'bgali kem mn yewm ?',Fatimetou Nemane — locutrice native hassaniya
visa yvra9 eynte ?,Mon visa expire quand ?,voyage,On dit 'visa yvra9 eynte ?',Fatimetou Nemane — locutrice native hassaniya
sivara mneyn ?,Où est l'ambassade ?,voyage,On dit 'sivara mneyn ?',Fatimetou Nemane — locutrice native hassaniya
debshi w9ed,J'ai perdu mes bagages,voyage,On dit 'debshi w9ed'.,Fatimetou Nemane — locutrice native hassaniya
sevari let9a,Mon vol est annulé,voyage,On dit 'sevari let9a'.,Fatimetou Nemane — locutrice native hassaniya
ndor n9ayar biytti,Je veux changer mon billet,voyage,On dit 'ndor n9ayar biytti'.,Fatimetou Nemane — locutrice native hassaniya
ey bab lesou3oud ?,C'est quelle porte d'embarquement ?,voyage,On dit 'ey bab lesou3oud ?',Fatimetou Nemane — locutrice native hassaniya
6ayara t2a5rett,L'avion est en retard,voyage,On dit '6ayara t2a5rett'.,Fatimetou Nemane — locutrice native hassaniya
Cheibani v jel ishir,Un adulte dans le corps d'un enfant,quotidien,On dit 'Cheibani v jel ishir' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
nte manak mou7taram yewaj3a,Tu n'es pas respectueux malheureusement,quotidien,On dit 'nte manak mou7taram yewaj3a' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
yakhwati,Mes frères,social,On dit 'yakhwati' pour dire mes frères en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
yewaj3a,Malheureusement,quotidien,On dit 'yewaj3a' pour dire malheureusement en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
mach aynta ?,Tu pars quand ?,quotidien,On dit 'mach aynta ?' pour demander quand quelqu'un part en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
y3avine w y3avik,Que Dieu nous guérisse,religion,On dit 'y3avine w y3avik' pour dire que Dieu nous guérisse et te guérisse.,Fatimetou Nemane — locutrice native hassaniya
ynezel vik lbarke,Que la bénédiction descende sur toi,religion,On dit 'ynezel vik lbarke' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
nte mat7shem ?,Tu n'as pas honte ?,quotidien,On dit 'nte mat7shem ?' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e 7a9i9i,C'est vrai ?,quotidien,On dit '4e 7a9i9i' pour dire c'est vrai en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
Ha4e 5a6a2 kbir,C'est une grande erreur,quotidien,On dit 'Ha4e 5a6a2 kbir' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
hatte nte,Toi aussi,social,On dit 'hatte nte' pour dire toi aussi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lat5alini n7ani,Ne me fais pas attendre,quotidien,On dit 'lat5alini n7ani' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
wallah mazelt ma 3adelt shy,Je n'ai encore rien fait,quotidien,On dit 'wallah mazelt ma 3adelt shy' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
nb9i nshovk,J'aimerais te voir,sentiments,On dit 'nb9i nshovk' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
Allah yser oumourak,Que Dieu facilite tes affaires,religion,On dit 'Allah yser oumourak' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
latek4eb 3le nass,Ne mens pas aux gens,quotidien,On dit 'latek4eb 3le nass' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e ma3andi bih 3elem,Je ne sais pas ça,quotidien,On dit '4e ma3andi bih 3elem' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
la tevga3 3lik nass,N'énerve pas les gens,quotidien,On dit 'la tevga3 3lik nass' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e mahu sale7,Ce n'est pas juste,quotidien,On dit '4e mahu sale7' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
shvhemt mn 4e ?,Tu as compris quoi ?,quotidien,On dit 'shvhemt mn 4e ?' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
latetkelem bha4i sive,Ne parle pas comme ça,quotidien,On dit 'latetkelem bha4i sive' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e mahou ra6ini,Ça ne me satisfait pas,quotidien,On dit '4e mahou ra6ini' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
ma knt 3arvak,Je ne te connaissais pas,social,On dit 'ma knt 3arvak' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e mahu sa7i7 ebeden,Ce n'est absolument pas vrai,quotidien,On dit '4e mahu sa7i7 ebeden' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e mahu man6i9i,Ce n'est pas logique,quotidien,On dit '4e mahu man6i9i' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
latwa5a8ni 7bal 9ar8i,Ne me fais pas sortir de ma patience,quotidien,On dit 'latwa5a8ni 7bal 9ar8i' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
Allah yejma3ne v lmesserat,Que Dieu nous rassemble dans le bonheur,religion,On dit 'Allah yejma3ne v lmesserat' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e mahu 7a9i,C'est pas ce que je mérite,quotidien,On dit '4e mahu 7a9i' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
latek4eb 3le rassak,Ne mens pas à toi-même,quotidien,On dit 'latek4eb 3le rassak' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
ha4e li,C'est à moi,quotidien,On dit 'ha4e li' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
ha4e lai,C'est à toi,quotidien,On dit 'ha4e lai' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
ha4e lmen ?,C'est à qui ?,quotidien,On dit 'ha4e lmen ?' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
6ini l3avye,Laisse-moi tranquille,quotidien,On dit '6ini l3avye' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
w7al v hemak,Occupe-toi de tes affaires,quotidien,On dit 'w7al v hemak' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e may3nik,C'est pas ton problème,quotidien,On dit '4e may3nik' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sh-t5arass viye ?,Pourquoi tu me regardes ?,quotidien,On dit 'sh-t5arass viye ?' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sh-dor ?,Qu'est-ce que tu veux ?,quotidien,On dit 'sh-dor ?' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
mn ba3d i4nak,Avec votre permission,politesse,On dit 'mn ba3d i4nak' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
mandor nez3jak,Je ne voulais pas te déranger,politesse,On dit 'mandor nez3jak' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4e mt3adel hatte,C'est très aimable de ta part,politesse,On dit '4e mt3adel hatte' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
ane v 5edmetkum,Je suis à votre service,politesse,On dit 'ane v 5edmetkum' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
beyssive gned n3awenkum,Comment puis-je vous aider ?,politesse,On dit 'beyssive gned n3awenkum' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sm7ouli shwey,Permettez-moi,politesse,On dit 'sm7ouli shwey' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
ha4e va5r,C'est un honneur,politesse,On dit 'ha4e va5r' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
shoukran 3le 6iyave,Merci de votre hospitalité,politesse,On dit 'shoukran 3le 6iyave' en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
7mar,Rouge,couleurs,On dit '7mar' pour rouge en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
zra9,Bleu,couleurs,On dit 'zra9' pour bleu en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
58ar,Vert,couleurs,On dit '58ar' pour vert en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sfar,Jaune,couleurs,On dit 'sfar' pour jaune en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
bya8,Blanc,couleurs,On dit 'bya8' pour blanc en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
k7al,Noir,couleurs,On dit 'k7al' pour noir en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
bourtou9ali,Orange,couleurs,On dit 'bourtou9ali' pour orange en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
7mar ma6luss,Rose,couleurs,On dit '7mar ma6luss' pour rose en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
coca,Marron,couleurs,On dit 'coca' pour marron en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
d5an,Gris,couleurs,On dit 'd5an' pour gris en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lethnyn,Lundi,jours,On dit 'lethnyn' pour lundi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
thlathe,Mardi,jours,On dit 'thlathe' pour mardi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lerb3a,Mercredi,jours,On dit 'lerb3a' pour mercredi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
l5miss,Jeudi,jours,On dit 'l5miss' pour jeudi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
joumou3a,Vendredi,jours,On dit 'joumou3a' pour vendredi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sebtt,Samedi,jours,On dit 'sebtt' pour samedi en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
l7ad,Dimanche,jours,On dit 'l7ad' pour dimanche en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
yenayer,Janvier,mois,On dit 'yenayer' pour janvier en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
vebrayer,Février,mois,On dit 'vebrayer' pour février en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
mars,Mars,mois,On dit 'mars' pour mars en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
abril,Avril,mois,On dit 'abril' pour avril en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
mayo,Mai,mois,On dit 'mayo' pour mai en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
younyou,Juin,mois,On dit 'younyou' pour juin en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
youlyou,Juillet,mois,On dit 'youlyou' pour juillet en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
a9ouss6ouss,Août,mois,On dit 'a9ouss6ouss' pour août en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sebtember,Septembre,mois,On dit 'sebtember' pour septembre en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
octobar,Octobre,mois,On dit 'octobar' pour octobre en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
nouvamabar,Novembre,mois,On dit 'nouvamabar' pour novembre en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
decembar,Décembre,mois,On dit 'decembar' pour décembre en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
rass,Tête,corps,On dit 'rass' pour tête en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
4ra3,Bras,corps,On dit '4ra3' pour bras en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
sag,Jambe,corps,On dit 'sag' pour jambe en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
led,Main,corps,On dit 'led' pour main en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
kra3,Pieds,corps,On dit 'kra3' pour pieds en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
l3ayn,Œil,corps,On dit 'l3ayn' pour œil en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
5naver,Nez,corps,On dit '5naver' pour nez en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lvoum,Bouche,corps,On dit 'lvoum' pour bouche en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lwe4n,Oreille,corps,On dit 'lwe4n' pour oreille en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
8har,Dos,corps,On dit '8har' pour dos en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
jmel,Chameau,animaux,On dit 'jmel' pour chameau en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
3anz,Chèvre,animaux,On dit '3anz' pour chèvre en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
kebsh,Mouton,animaux,On dit 'kebsh' pour mouton en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
vrass,Cheval,animaux,On dit 'vrass' pour cheval en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
7mar,Âne,animaux,On dit '7mar' pour âne en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
begra,Vache,animaux,On dit 'begra' pour vache en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
kelb,Chien,animaux,On dit 'kelb' pour chien en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
moushe,Chat,animaux,On dit 'moushe' pour chat en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
7outte,Poisson,animaux,On dit '7outte' pour poisson en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
6eyr,Oiseau,animaux,On dit '6eyr' pour oiseau en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
marou w l7outt,Thiéboudienne,nourriture_mauritanienne,"On dit 'marou w l7outt' pour le thiéboudienne, le plat national mauritanien (riz au poisson).",Fatimetou Nemane — locutrice native hassaniya
lmeshwi,Méchoui,nourriture_mauritanienne,"On dit 'lmeshwi' pour le méchoui (agneau rôti entier), plat de fête mauritanien.",Fatimetou Nemane — locutrice native hassaniya
zrig,Zrig,nourriture_mauritanienne,"On dit 'zrig' pour le lait de chamelle dilué et sucré, boisson traditionnelle mauritanienne.",Fatimetou Nemane — locutrice native hassaniya
etay,Thé,nourriture_mauritanienne,On dit 'etay' pour le thé en hassaniya. La cérémonie du thé s'appelle nedwiya — 3 tournées.,Fatimetou Nemane — locutrice native hassaniya
tmar,Dattes,nourriture_mauritanienne,On dit 'tmar' pour les dattes en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
couscous,Couscous,nourriture_mauritanienne,On dit 'couscous' pour le couscous en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lben lm3iz,Lait de chamelle,nourriture_mauritanienne,On dit 'lben lm3iz' pour le lait de chamelle en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
mbourou,Pain,nourriture_mauritanienne,On dit 'mbourou' pour le pain en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
marou,Riz,nourriture_mauritanienne,On dit 'marou' pour le riz en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
l7am moujemar,Viande grillée,nourriture_mauritanienne,On dit 'l7am moujemar' pour la viande grillée en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lmarssa,Marché,lieux,On dit 'lmarssa' pour marché en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lmssid,Mosquée,lieux,On dit 'lmssid' pour mosquée en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lb7ar,Plage,lieux,On dit 'lb7ar' pour plage en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
6ab,Hôpital,lieux,On dit '6ab' pour hôpital en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lmedrssa,École,lieux,On dit 'lmedrssa' pour école en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
jam3a,Université,lieux,On dit 'jam3a' pour université en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lma6ar,Aéroport,lieux,On dit 'lma6ar' pour aéroport en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
port,Port,lieux,On dit 'port' pour port en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
lbank,Banque,lieux,On dit 'lbank' pour banque en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
saydeliye,Pharmacie,lieux,On dit 'saydeliye' pour pharmacie en hassaniya.,Fatimetou Nemane — locutrice native hassaniya
2lbal tbrk 3la 2kbarha,Respecter les aînés,proverbe,"Proverbe : '2lbal tbrk 3la 2kbarha'
Signification : Respecter les aînés",ahmed02mk/amthal-hassaniya
abra 6a7t fb7r,Perdre espoir,proverbe,"Proverbe : 'abra 6a7t fb7r'
Signification : Perdre espoir",ahmed02mk/amthal-hassaniya
2b6 zr3u 25dr,Perdre temps,proverbe,"Proverbe : '2b6 zr3u 25dr'
Signification : Perdre temps",ahmed02mk/amthal-hassaniya
2thr als7ab fy altrab,Influencer positif,proverbe,"Proverbe : '2thr als7ab fy altrab'
Signification : Influencer positif",ahmed02mk/amthal-hassaniya
2thgl mn 8sa 3nd 2ykawn,Scandale rapide,proverbe,"Proverbe : '2thgl mn 8sa 3nd 2ykawn'
Signification : Scandale rapide",ahmed02mk/amthal-hassaniya
27ma mn kulyb ally y7m al5lwat,Protéger inutilement,proverbe,"Proverbe : '27ma mn kulyb ally y7m al5lwat'
Signification : Protéger inutilement",ahmed02mk/amthal-hassaniya
27ws mn l3gab,Enlèvement rapide,proverbe,"Proverbe : '27ws mn l3gab'
Signification : Enlèvement rapide",ahmed02mk/amthal-hassaniya
27ma mn dyk 2hl bwb,Puissance sexuelle,proverbe,"Proverbe : '27ma mn dyk 2hl bwb'
Signification : Puissance sexuelle",ahmed02mk/amthal-hassaniya
27rsh mn fm 2kjwjt,Lieu rocailleux,proverbe,"Proverbe : '27rsh mn fm 2kjwjt'
Signification : Lieu rocailleux",ahmed02mk/amthal-hassaniya
27r mn shms la5ra,Chaleur extrême,proverbe,"Proverbe : '27r mn shms la5ra'
Signification : Chaleur extrême",ahmed02mk/amthal-hassaniya
25sr mn lbn 2r7yl,Corrompt le lait,proverbe,"Proverbe : '25sr mn lbn 2r7yl'
Signification : Corrompt le lait",ahmed02mk/amthal-hassaniya
25anaaf y8yr ma yrda7,Menace sans agir,proverbe,"Proverbe : '25anaaf y8yr ma yrda7'
Signification : Menace sans agir",ahmed02mk/amthal-hassaniya
25nz mn 2njf,Puant comme une chienne,proverbe,"Proverbe : '25nz mn 2njf'
Signification : Puant comme une chienne",ahmed02mk/amthal-hassaniya
